「ねぇねぇ。なにブツブツ言ってるのー？」	？？？「呐呐。你在嘀咕什么呢？」
	
右耳に当てているケータイ電話。通話口からはなにも聞こえてこない。ノイズすらない。完全に無音。	从抵在右耳的手机听筒里没有传来任何声音。连杂音都没有。完全无声。
	
夏の強烈な日射しを受けて。	夏季猛烈的阳光正洒落在我的身上。
	
ぽたりと、俺の顎先から汗が一滴落ち、アスファルトに染みを作った。	啪嗒的一声，从我的下巴滴落的汗珠落到柏油路面上溅出了水渍。
	
「オカリン？ ねぇってばー」	？？？「冈伦？ 我在叫你呢」
	
目の前には少女。	眼前的是一名少女。
	
首を傾げながら俺に呼びかけてくる。	正斜着头呼喊着我。
	
どう見ても中学生にしか見えないあどけなさの残る顔つきからは、今まさに敵地に潜入しようとしているにもかかわらず、緊張感が微塵も感じられない。	现在明明正是将要潜入敌阵的时刻，但从这不管怎么看都像是中学生一般无邪的脸蛋上却感觉不到丝毫的紧张感。
	
ケータイの通話口を手で押さえてから、俺は少女に向き直り人差し指を口に添えた。	我一边用手捂住手机的话筒，一边面向少女把食指立到嘴巴前。
	
ちょっと黙れ、のゼスチャー。	做出‘稍微静一静’的手势。
	
「誰かと電話中？」	？？？「在和谁通电话吗？」
	
うなずいてから、改めてケータイを右耳へ。	我边点头边再次将手机靠到右耳边。
	
電話の向こうからはやはり一切の音が聞こえてこなかった。	依然没有任何声音从听筒里传来。
	
聞かれてはまずい会話をしているのだから、向こうも気を利かせて黙ったのだろう。	毕竟对话的内容不能让别人听见，所以对方也顾虑到这点才沉默了的吧。
	
「……いや、こちらの話だ。問題ない、これより会場に潜入する」	伦太郎「⋯⋯不，这边的琐事而已。没问题，现在开始潜入会场」
	
相変わらず相手は無言。	对方仍旧沉默。
	
報告を聞くだけにしたらしい。	似乎决定只听取报告不做声了。
	
合理的な判断だ。	这是合理的判断。
	
この場であれこれ雑談するのは危険すぎる。	在这种地方交谈实在太危险了。
	
「ああ、ドクター中鉢は抜け駆けをした。たっぷりとその考えについて聞かせてもらうつもりさ」	伦太郎「对，中鉢博士想要争头香。关于这点我准备让他好好说明一下」
	
「……なに！？ “機関”が動き出しているだと！？」	伦太郎「⋯⋯什么！？ “机关”开始行动了！？」
	
俺は目を見開き、驚いたような声をあげてみた。	我睁大眼睛，像是很惊讶似的提高了音量。
	
少女も、こちらに合わせてビクッと身をすくませている。	少女看到这幕也仿佛在配合我似的稍微蜷缩了下身子。
	
というか、こっちをじっと見てるんじゃない。	我得说，别一直盯着我看啊。
	
俺はすぐに深々とため息をつき、こめかみを指で押さえながら小さく首を振った。	我接着长叹了一口气，用手指按着太阳穴轻轻的晃了晃头部。
	
「そうか、それが運命石の扉の選択か。エル・プサイ・コングルゥ」	伦太郎「是这样吗，这就是命运石之门Ｓｔｅｉｎｓ　Ｇａｔｅ的选择吗。Ｅｌ　Ｐｓｙ　Ｋｏｎｇｒｏｏ」
	
別れの合い言葉を最後に、深刻な顔のままケータイを耳から離して、懐にしまった。	说完把告别的暗号后，我保持着深刻的表情将手机放进了衣袋里。
	
運命石の扉。	命运石之门Ｓｔｅｉｎｓ　Ｇａｔｅ。
	
それはいわば“神々の意志”あるいは“運命”と同じ意味を表す。	那与所谓的“神的意志”或者“命运”所表达的意义相同。
	
その存在を知る者は、世界中でも数えるほどだろう。	知道其存在的人在世上应该屈指可数。
	
さてと、それでは早速、潜入するとしよう。	那么就赶紧开始潜入吧。
	
俺は目の前にそびえるビルへ向かって足を踏み出した。	我向着眼前矗立的大楼迈出了脚步。
	
敵地への潜入だ、バカ正直に正面から突入するような愚を、俺は冒したりはしない。	现在是要潜入敌阵，我可不会做出正从正面突击这种老老实实的蠢事。
	
エレベータやエスカレータは使わず、階段を上って最上階である８階に向かう。	我并没有使用电梯和自动扶梯，而是从楼梯走向顶楼的８楼。
	
だが７階まで来たところで力尽きた。	可是爬到７楼的时候就精疲力尽了。
	
「さっき、ケータイで誰と話してたのー？」	真由理「刚才在用手机跟谁打电话呢？」
	
俺の後ろをついてくる少女––椎名まゆりが、息を切らした様子もなくそう聞いてきた。	跟在我身后的少女––椎名真由理看起来像毫无疲累一样的问道。
	
俺は階段を上り切ったところで膝に手を置き、一息つく。	我上完楼梯后将手撑在膝盖上，缓了缓气。
	
階段を使うべきじゃなかったかもしれん……。キツすぎ……。	或许不应该走楼梯的⋯⋯太勉强了⋯⋯
	
額に滲む汗を手で拭いつつ、まゆりへと向き直った。	我用手擦着额头上的汗，转身面向真由理。
	
「聞くな。それがまゆりのためでもある」	伦太郎「别问。这也算是为了真由理你好」
	
「そうなんだー。オカリン、ありがとー」	真由理「原来是这样啊。冈伦，谢谢了呢」
	
まゆりは嬉しそうに微笑んだ。	真由理很开心似的微笑了起来。
	
こいつは実に物分かりがいい。	这家伙还真是懂事。
	
俺の立場もわきまえてくれていて、深く突っ込んでくることもない。	能够理解我的立场，又不会过度的深入干涉进来。
	
彼女は俺の幼なじみである。	她是我的青梅竹马。
	
年齢は俺より２つ下––１６歳の女子高生なので、幼なじみと言うより妹のような立場に近い。	年龄比我小两岁––因为是１６岁的女高中生，所以比起青梅竹马，更接近妹妹的立场。
	
家が近所なので昔からよく世話をしてやっていた。	由于家住得比较近，所以从以前开始就经常照顾她。
	
まゆりには、運命石の扉の鍵という過酷な宿命を背負うことのできる素質があるのではないか。以前の俺はそんなことを考えたりもしたが、今はそれを改めている。	对于真由理，虽然以前的我认为她拥有背负担任命运石之门Ｓｔｅｉｎｓ　Ｇａｔｅ的钥匙这种过于苛酷的命运的素质。但是现在却改观了。
	
彼女にはいつまでも普通でいてほしい。	希望她能永远都平凡的过下去，
	
それが、今の俺のささやかな願いだ。	这就是现在的我微薄的愿望。
	
８階まで上がって会場に入ると、安っぽいセットが作られていた。	登上８楼进入会场后，便看见似乎很廉价的场地布置。
	
ドクター中鉢タイムマシン発明成功記念会見と銘打たれている。	标榜着“中钵博士时间机器发明成功纪念见面会”。
	
「それよりオカリンオカリン」	真由理「冈伦冈伦，比起这个」
	
オカリンとさっきからやたら連呼されているが、それは別に俺の本名でもなければコードネームでもない。俺自身があまり気に入っていないあだ名というヤツだ。	虽然从刚才开始就一直被连着喊冈伦，但是那既不是我的本命也不是代号，而是连我也不太喜欢的绰号。
	
「まゆりよ、いつも言っているだろう。俺のことをオカリンと呼ぶなと」	伦太郎「真由理，不是跟你一直说不要叫我冈伦了吗」
	
「えー？ でも昔からそう呼んでたよ？」	真由理「欸〜？ 不过从以前就开始这么叫了啊？」
	
「それは昔の話だ。今の俺は“鳳凰院　凶真”。世界中の秘密組織から狙われる、狂気のマッドサイエンティストだ。フゥーハハハ！」	伦太郎「那是过去了的事了。现在的我是“凤凰院凶真”。是被世上的秘密组织所盯上的狂气的疯狂科学家。呼哈哈哈！」
	
「だって、難しくて覚えられないし」	真由理「因为太复杂了记不住嘛」
	
とにかく鳳凰院凶真は俺の真名なのだ。	总而言之凤凰院凶真是我的真名。
	
「それに、岡部倫太郎と１文字も合ってないよー？ おかしいね、えっへへー」	真由理「而且也没有一个字和冈部伦太郎对得上呀？ 太奇怪了，诶嘿嘿〜」
	
うーむ、実に幸せそうに笑っていらっしゃいやがる。	唔，这家伙看起来还笑得真幸福。
	
ちなみに岡部倫太郎という俺の本名は、間抜けな感じがして好きではない。	顺道一提冈部伦太郎是我的本名，但是感觉太憨了所以不喜欢。
	
なのでそこから取ったあだ名である“オカリン”も同じく嫌いなのだ。	所以由此组合起来的“冈伦”的绰号也一样的讨厌。
	
というかオカリンって。	说起来。“冈伦”这称呼，
	
銭湯に置いてある黄色い桶みたいじゃないか。	算什么玩意儿啊。钢筋做的呼啦圈么。
	
「でね、オカリン。えっと、教えてほしいんだけど」	真由理「对了，冈伦。我想问一下」
	
どうやらまゆりには言っても通じないようだった。	看起来跟真由理说了也没用。
	
かれこれ５年は言い続けてきてこれだから、半ば諦めてはいるが。	这样那样地说了她五年都没改过来，所以都已经基本放弃了。
	
「これからここで、なにが始まるのー？」	真由理「这里接下来，要开始什么啊？」
	
「お前は、それも知らずここまで俺についてきたというのか」	伦太郎「你连这也不知道就跟着我到这里来了吗？」
	
「うん」	真由理「嗯」
	
にこやかにうなずいている。	微笑着轻轻地点了点头。
	
東京、秋葉原駅前にある、通称“ラジ館”。	这里是位处东京秋叶原站前的“广播馆”。
	
その８階は、イベントスペースになっている。	而其８楼现在成了活动会场。
	
「これからここで始まるのは、ドクター中鉢の記者会見だ」	伦太郎「接下来在这里要开始的是中钵博士的记者见面会」
	
ドクター中鉢というのは発明家である。テレビなどにもよく登場する有名な人物で、特許数もそれなりに持っている。とはいえ世間一般の目からは所詮“色モノ”としか見られていないが。	所谓中钵博士是一个发明家。是个在电视节目上也经常出镜的名人，还掌握着一定数量的专利。不过那在世间一般人的眼里他只不过是哗众取宠的人物而已。
	
「記者会見？ でもー、記者さんなんて見当たらない気がするよ？」	真由理「记者见面会？可是感觉都没见到有什么记者呀？」
	
まゆりの言う通りだった。	就跟真由理说的一样。
	
試しに奥にある会場をのぞいてみたが、記者らしい人間もカメラマンらしき人間も、１人としてここにはいない。その時点で記者会見ではなくただの発表会と化してしまっている。	朝会场里面看了看，但却没有一个看起来像是摄影师或者记者的人。这已经算不上是记者见面会而是变成了普通的发表会。
	
会場にいるのは、俺も含めて手持ちぶさたで突っ立っている１０人程度の男たち。	在会场里的包含上我，总共也就有大概１０个男性在无所事事地站着待开始。
	
そう、たったの１０人。	对，不过十个人而已。
	
中鉢の知名度はそれなりのはずだし、タイムマシン開発に成功したという触れ込みなら、もっと集まってもいいはずだが。	中钵的知名度也还可以，要是说成功开发了时间机器的话本来应该能引来更多人的。
	
「あるいは、“機関”によるなんらかの妨害を受けたのかもしれないな」	伦太郎「或许遭到了“机关”的某种妨碍也说不定」
	
俺は自嘲気味につぶやき、わざとらしく唇を歪めた。	我自嘲一般地低语着，故意将双唇歪曲起来。
	
中鉢は元々––面識はないが––俺と同じ側にいる人間だったはずだ。	中钵––虽然就不认识––他本来应该跟我们是同一阵营的人才对。
	
しかしそれを放棄して野に下った。	可是他却放弃了这身份，自甘堕落。
	
このタイミングを“機関”が見逃すはずがない。	“机关”是绝对不会放过这个机会的。
	
「巻き込まれるのは、勘弁だがな」	伦太郎「不过我可不想被牵连」
	
とはいえ、ヤツがなにを語るのかには興味がある。	话虽然是这么说，但是我对这家伙将要发布的内容还是有些兴趣。
	
だからこそ俺はわざわざ夏休みの昼下がりという貴重な時間を割いて、ここに来たのだ。	正因为如此我才会刻意从我宝贵暑假的午后挤出时间来到这里。
	
俺がつぶやいた独り言に、まゆりはしばらく考え込んだ後、かなり間を置いてまた首を傾げた。	听了我的自言自语，真由理思考了一阵子，过了很久再次歪起头。
	
「巻き巻きトカゲ？ あ、それを言うならエリ巻きトカゲだねー。えっへへー」	真由理「牵牵花？ 啊，那个应该叫牵牛花才对呢。诶嘿嘿〜」
	
俺はため息をついてしまう。	我忍不住叹了口气。
	
１人ボケツッコミ笑いとは実に脳天気なことだ。	一个人发傻糟点又对自己吐糟，还真是悠闲得可以。
	
まあ、まゆりは昔からこんな感じだが。	算了，虽然真由理从以前开始就是这样。
	
「まゆり、気を付けろ。おそらくこの記者会見、なんらかの事件が起き––」	伦太郎「真由理，注意点。恐怕这次的记者会面会发生某些事件––」
	
言っているそばから来た！	真是说曹操曹操到！
	
こ、この音はなんだ！？ 電磁波攻撃か！？	这，这是什么声音！？ 電磁波攻击吗！？
	
わずかに足下が揺れた。	地面稍微晃动了一下。
	
確かな衝撃。	很实在的冲击感。
	
上からだ。	从面传来的。
	
だが俺たちがいる８階は最上階。	但是我们所处的８楼是顶层。
	
ここより上となると、屋上しかない。	这里的上面，也就只有屋顶了。
	
「地震かなぁ？ 震度２？ マグニチュード２？ 震度とマグニチュードってどう違うんだっけー……」	真由理「是地震么？ 震度２？ 震级２？ 说起来震度和震级是怎么不同来着⋯⋯」
	
悩み多き少女のことは放っておく。	先不管这个烦恼的少女了。
	
胸騒ぎを覚え、俺は会場を飛び出した。	不妙的预感促使我跑出了会场。
	
立ち入り禁止なのを無視して、屋上への階段を駆け上がる。	无视禁止进入的警示，我踏上了通向楼顶的楼梯。
	
屋上の扉はなぜか開いていた。というか、鍵が壊されていた。	不知道为何楼顶的门开了。应该说门锁被破坏了才对。
	
扉を開けると、見渡さなくても黒い煙が立ちのぼっているのが見えた。	一打开门，映入眼帘的就是不着边际的黑烟。
	
それに、なぜか虹色の燐光のようなものがキラキラと空中を舞っている。	而且同时不知为何有像是红色磷光一样的东西闪烁着飘浮在空中。
	
